model,split,dt,horizon_seconds,runs,rmse_position,rmse_velocity,rmse_roll_pitch,rmse_roll_pitch_rates,rmse_legacy_10_state,rmse_yaw,rmse_yaw_rate,rmse_full_12_state,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_phi,rmse_theta,rmse_psi,rmse_p,rmse_q,rmse_r,worst_window_position_rmse,divergent_windows,windows
dictionary_physics42_f100,test,0.01,0.1,9,0.0005415339741806556,0.004919612774058431,0.005016232291724,0.021571390747357352,0.010268702532623245,0.008391897076463402,0.01756106545149723,0.010928851240976622,0.000688313910816639,0.0006248749531388047,0.0001246290042155739,0.006777631237612841,0.005103166268076601,0.0007932076571342885,0.004999286450615627,0.00503312107879,0.008391897076463402,0.01985335463220048,0.023162342441955926,0.01756106545149723,0.0019289468342199843,0,540
dictionary_physics42_f100,test,0.01,0.5,9,0.005365085024381044,0.024766666175758657,0.015001648065086923,0.06840494024120904,0.034256512169929275,0.02592630425111451,0.10704435891706648,0.04459610809679494,0.006834099339230403,0.006213568513405563,0.0010193451364767627,0.0302666943708868,0.029939757352604804,0.005263212128622515,0.013760261897779532,0.016147881651844286,0.02592630425111451,0.06746610428658684,0.06933106425836941,0.10704435891706648,0.025518200507251308,0,540
dictionary_physics42_f100,test,0.01,1.0,9,0.020366267022462334,0.05483409405589816,0.017389200520567905,0.08714814572894912,0.051048070783881065,0.027169883404059948,0.15571324457910624,0.06522005852567142,0.02394979447989485,0.025518887762718885,0.004421335659646851,0.06244711918147328,0.07041941315689347,0.0127199516259642,0.015538707799818993,0.019060880079389907,0.027169883404059948,0.07935480472598164,0.09429959477585059,0.15571324457910624,0.10025091078817047,0,540
dictionary_physics42_f100,test,0.01,2.0,9,0.07763926811023453,0.10114336240864819,0.018915667102743876,0.09571352582379378,0.08234759869673663,0.031013618188809787,0.1817975023668551,0.09211561869519187,0.08964102636533047,0.09844322535019559,0.018894063430066547,0.11809963014538824,0.12682327907076082,0.02565682215793428,0.0183128887852578,0.01949982123565324,0.031013618188809787,0.08766855381313084,0.10313284017982953,0.1817975023668551,0.35264859450333114,0,540
learning_full56_f010,validation,0.01,0.1,9,0.0006451563709755896,0.011683760585776689,0.0046764511714455885,0.0458424292461074,0.021581414443897863,0.005174038883830284,0.030152112481982164,0.021589918672631915,0.0007407442876856629,0.0008268267565242512,0.00012781096974760913,0.01389859449667331,0.014630328398551069,0.0015209688507129416,0.004517896047893751,0.004829803973067195,0.005174038883830284,0.03760613808800359,0.05280942166389187,0.030152112481982164,0.0032419689112011944,0,540
learning_full56_f010,validation,0.01,0.5,9,0.008808756048386384,0.04295871333952621,0.022872811293832316,0.09814038083564909,0.05106714736385979,0.022408328616216104,0.09817364991920688,0.05493840045045378,0.011137066114184633,0.010274534861556394,0.0017838837145099512,0.05762084170505972,0.045654934620229584,0.011481232572584486,0.017821022598572166,0.02699522451300797,0.022408328616216104,0.08581210947271493,0.10908414444352243,0.09817364991920688,0.04971096598096633,0,540
learning_full56_f010,validation,0.01,1.0,9,0.03242000991048674,0.08814437770874153,0.03245267133722465,0.09832361394569107,0.06921190863232894,0.0298990450682806,0.12474104627213745,0.07323316899144876,0.045099453006753144,0.03197612261001334,0.009835550269773083,0.12172267862605035,0.08698116097222701,0.03043289517950402,0.022164127585061023,0.04018834659745263,0.0298990450682806,0.08941824467108578,0.10648682377939742,0.12474104627213745,0.2069639917892613,0,540
learning_full56_f010,validation,0.01,2.0,9,0.13564393250807869,0.1916815685519948,0.032012368569549456,0.09856487931635353,0.1367124554671548,0.03183918898599672,0.1420734916953913,0.13168825744803342,0.18119168704776412,0.1420308552382298,0.04684696344322354,0.244409247872739,0.21534024807780364,0.06417295598405351,0.02475364885777964,0.037905677029847394,0.03183918898599672,0.09357221385949725,0.10331656044762227,0.1420734916953913,0.9944485770248628,0,540
learning_full56_f010,test,0.01,0.1,9,0.0005630327491260843,0.005579530324923304,0.005007547241564642,0.0250840580463716,0.011844473346124195,0.008307693643136837,0.0196771932482899,0.012446971506720106,0.0007021353335597277,0.0006653276894185394,0.00012394623360709953,0.007177134398546442,0.006414422446124383,0.0008587214030599921,0.00502904784394472,0.004985953924407873,0.008307693643136837,0.024460840333853987,0.02569216274098352,0.0196771932482899,0.0018696681182099046,0,540
learning_full56_f010,test,0.01,0.5,9,0.005727063341727097,0.0260730558251365,0.01467915989628217,0.06992489010387685,0.035139360361768485,0.024201188448217986,0.11490540994061503,0.04666967004228515,0.007202767499447729,0.006740543203108045,0.0010406638440901555,0.03255271510399626,0.03080038165181206,0.005574042486636176,0.01364561633448705,0.015644571754228936,0.024201188448217986,0.06929660586484188,0.0705475791766895,0.11490540994061503,0.02685705949446737,0,540
