family,replicate,scenario_seed,controller,plant_id,tmax_s,capture_radius_m,intercept_lead_s,controller_period_s,initial_yaw_rad,target_peak_speed_mps,target_peak_acceleration_mps2,captured,capture_time,capture_relative_speed,minimum_separation,final_separation,separation_rmse,qualified_dwell_s,qualified_time_reference,qualified_sample_convention,qualified_capture_speed_2p0_mps,qualified_capture_time_speed_2p0_mps_s,qualified_capture_speed_3p0_mps,qualified_capture_time_speed_3p0_mps_s,qualified_capture_speed_5p0_mps,qualified_capture_time_speed_5p0_mps_s,failure_aware_capture_time_s,mean_solve_ms,p95_solve_ms,failed_solves,allocator_altered_steps
accelerating,4,801004,Linear MPC,nominal,20.0,0.75,0.0,0.01,2.7047340006012592,2.5949476993123324,0.10850784153670417,1,3.5700000000000003,1.1584822330036955,0.006925207954487858,0.010798109892215557,3.6381915113883414,0.2,dwell_end,elapsed_interval,1,3.77,1,3.77,1,3.77,3.5700000000000003,4.249973249810864,5.129039997700602,0,0
accelerating,4,801004,PID,nominal,20.0,0.75,0.0,0.01,2.7047340006012592,2.5949476993123324,0.10850784153670417,1,2.44,10.027012316272094,0.10602152909922406,0.8079569028761642,5.237437819535599,0.2,dwell_end,elapsed_interval,1,16.16,1,15.99,1,12.44,2.44,0.0,0.0,0,0
accelerating,5,801005,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,2.4815119497223033,0.5428209499069565,0.02015381181811415,1,3.38,0.9614481687021564,0.002960852372705305,0.006444233973623697,3.220249943482079,0.2,dwell_end,elapsed_interval,1,3.58,1,3.58,1,3.58,3.38,2.871146099685575,3.049925024970434,0,0
accelerating,5,801005,Linear MPC,nominal,20.0,0.75,0.0,0.01,2.4815119497223033,0.5428209499069565,0.02015381181811415,1,3.75,1.1775471814610148,0.0005789873546193711,0.0006607264040444221,3.391083712696708,0.2,dwell_end,elapsed_interval,1,3.95,1,3.95,1,3.95,3.75,4.274168049683794,5.139190015324857,0,0
accelerating,5,801005,PID,nominal,20.0,0.75,0.0,0.01,2.4815119497223033,0.5428209499069565,0.02015381181811415,1,2.37,9.06868623211848,0.10050528102548827,0.14202093248394615,4.293530542256716,0.2,dwell_end,elapsed_interval,1,14.5,1,14.120000000000001,1,11.13,2.37,0.0,0.0,0,0
accelerating,6,801006,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,2.9362040945186685,0.6480155690632652,0.022353520714518463,1,3.42,0.9236945472765145,0.0019179240261441668,0.010365554414925135,3.2433874897235118,0.2,dwell_end,elapsed_interval,1,3.62,1,3.62,1,3.62,3.42,2.916528250265401,3.3702800210448913,0,0
accelerating,6,801006,Linear MPC,nominal,20.0,0.75,0.0,0.01,2.9362040945186685,0.6480155690632652,0.022353520714518463,1,3.02,1.4849983728979959,0.0015464382793264784,0.0021694750648055578,3.3195630704534342,0.2,dwell_end,elapsed_interval,1,3.22,1,3.22,1,3.22,3.02,4.228211049863603,5.05175501893973,0,0
accelerating,6,801006,PID,nominal,20.0,0.75,0.0,0.01,2.9362040945186685,0.6480155690632652,0.022353520714518463,1,2.34,9.673813471336123,0.09532104076436881,0.2987911034381888,4.646387781917986,0.2,dwell_end,elapsed_interval,1,15.47,1,15.09,1,11.74,2.34,0.0,0.0,0,0
accelerating,7,801007,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-2.9247690513600135,1.2150453584789567,0.02574916976020583,1,3.21,0.9504866641486375,0.007654128147851867,0.025533922427974746,2.8961216529148617,0.2,dwell_end,elapsed_interval,1,3.41,1,3.41,1,3.41,3.21,2.9695892999734497,3.4742649993859227,0,0
accelerating,7,801007,Linear MPC,nominal,20.0,0.75,0.0,0.01,-2.9247690513600135,1.2150453584789567,0.02574916976020583,1,3.42,1.174179567390797,0.0030671739758269373,0.003922630868532786,3.0395260205142,0.2,dwell_end,elapsed_interval,1,3.62,1,3.62,1,3.62,3.42,4.201250100202742,4.8529749910812825,0,0
accelerating,7,801007,PID,nominal,20.0,0.75,0.0,0.01,-2.9247690513600135,1.2150453584789567,0.02574916976020583,1,2.18,8.7674446028676,0.07228118227471605,0.4741291198490222,3.8612298192114847,0.2,dwell_end,elapsed_interval,1,13.790000000000001,1,13.56,1,10.64,2.18,0.0,0.0,0,0
accelerating,8,801008,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-3.012995032587401,2.2906853186082836,0.10199125061617868,1,3.16,0.9706458997349854,0.007564697461925452,0.060355222262852865,2.805310456304677,0.2,dwell_end,elapsed_interval,1,3.36,1,3.36,1,3.36,3.16,2.885853850079002,3.3335850035655312,0,0
accelerating,8,801008,Linear MPC,nominal,20.0,0.75,0.0,0.01,-3.012995032587401,2.2906853186082836,0.10199125061617868,1,3.5100000000000002,1.157126910642247,0.006614734590116849,0.009603254880604198,2.9978691042040317,0.2,dwell_end,elapsed_interval,1,3.71,1,3.71,1,3.71,3.5100000000000002,4.142207549957675,4.584865014476236,0,0
accelerating,8,801008,PID,nominal,20.0,0.75,0.0,0.01,-3.012995032587401,2.2906853186082836,0.10199125061617868,1,2.02,8.669943218278673,0.04154044200368498,0.8727080540200488,3.6867165146197287,0.2,dwell_end,elapsed_interval,1,13.44,1,11.56,1,10.370000000000001,2.02,0.0,0.0,0,0
accelerating,9,801009,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,3.0913204126244325,1.4566583297905866,0.050814069345067825,1,3.36,0.9657476486231114,0.007233396259293088,0.03476407136125186,3.0292857860071707,0.2,dwell_end,elapsed_interval,1,3.56,1,3.56,1,3.56,3.36,2.9246372507914202,3.428770000755321,0,0
accelerating,9,801009,Linear MPC,nominal,20.0,0.75,0.0,0.01,3.0913204126244325,1.4566583297905866,0.050814069345067825,1,3.8200000000000003,1.1588365687199185,0.0038994668694717653,0.0050801786765189965,3.238026500388263,0.2,dwell_end,elapsed_interval,1,4.0200000000000005,1,4.0200000000000005,1,4.0200000000000005,3.8200000000000003,4.225244100132841,4.649960015376563,0,0
accelerating,9,801009,PID,nominal,20.0,0.75,0.0,0.01,3.0913204126244325,1.4566583297905866,0.050814069345067825,1,2.11,8.700576530605046,0.1020493995981518,0.589806490311352,3.840356396250372,0.2,dwell_end,elapsed_interval,1,13.52,1,11.77,1,10.53,2.11,0.0,0.0,0,0
helix,0,802000,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-2.6300170021686884,2.3591376343666832,1.1599055512282188,1,2.88,0.8905118866793539,0.05499215207095481,0.07253745975660883,1.981688313895849,0.2,dwell_end,elapsed_interval,1,3.08,1,3.08,1,3.08,2.88,2.974723100065603,3.507214989804197,0,0
helix,0,802000,Linear MPC,nominal,20.0,0.75,0.0,0.01,-2.6300170021686884,2.3591376343666832,1.1599055512282188,1,3.06,1.1285599024254578,0.05812154265371677,0.05812249534011005,2.0841011160981253,0.2,dwell_end,elapsed_interval,1,3.2600000000000002,1,3.2600000000000002,1,3.2600000000000002,3.06,4.269712900088052,5.0315599830355495,0,0
helix,0,802000,PID,nominal,20.0,0.75,0.0,0.01,-2.6300170021686884,2.3591376343666832,1.1599055512282188,1,7.53,4.20240044934174,0.27054653254758154,0.8483916015602615,2.9164500770704316,0.2,dwell_end,elapsed_interval,1,11.75,1,8.96,1,7.73,7.53,0.0,0.0,0,0
helix,1,802001,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-0.8782667833591654,2.6524186714908895,1.6729681224409547,1,3.23,0.8590490286444832,0.07645109111827796,0.09883113653950687,1.8972961292576909,0.2,dwell_end,elapsed_interval,1,3.43,1,3.43,1,3.43,3.23,2.9563127002620604,3.313229994091671,0,0
helix,1,802001,Linear MPC,nominal,20.0,0.75,0.0,0.01,-0.8782667833591654,2.6524186714908895,1.6729681224409547,1,3.25,0.8410609001332492,0.09101419312175694,0.09388641276865485,1.9711611972199568,0.2,dwell_end,elapsed_interval,1,3.45,1,3.45,1,3.45,3.25,4.192902900002082,4.844245010463055,0,0
helix,1,802001,PID,nominal,20.0,0.75,0.0,0.01,-0.8782667833591654,2.6524186714908895,1.6729681224409547,1,9.25,1.821462506288544,0.4890037703658015,0.9802065363601716,3.007193829204219,0.2,dwell_end,elapsed_interval,1,11.540000000000001,1,9.450000000000001,1,9.450000000000001,9.25,0.0,0.0,0,0
helix,2,802002,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,0.17237713152690168,1.843159685788168,0.7293766122398365,1,3.37,0.9251216583889391,0.03474859037770412,0.05245139396876832,2.701069555705843,0.2,dwell_end,elapsed_interval,1,3.5700000000000003,1,3.5700000000000003,1,3.5700000000000003,3.37,3.037489699665457,3.59081501228502,0,0
helix,2,802002,Linear MPC,nominal,20.0,0.75,0.0,0.01,0.17237713152690168,1.843159685788168,0.7293766122398365,1,3.8200000000000003,1.180322230064006,0.03267766762742085,0.03268741819370217,2.88884043836793,0.2,dwell_end,elapsed_interval,1,4.0200000000000005,1,4.0200000000000005,1,4.0200000000000005,3.8200000000000003,4.421306699878187,5.289119994267821,0,0
helix,2,802002,PID,nominal,20.0,0.75,0.0,0.01,0.17237713152690168,1.843159685788168,0.7293766122398365,1,6.1000000000000005,6.0354065732395785,0.19766619693553025,0.6470888573803758,3.77874904580067,0.2,dwell_end,elapsed_interval,1,14.040000000000001,1,11.83,1,8.39,6.1000000000000005,0.0,0.0,0,0
helix,3,802003,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,1.2989681148925456,2.7755775571824968,1.427935970408798,1,3.41,0.9840213893577772,0.06680272265347754,0.08928195111294412,3.3977031265884245,0.2,dwell_end,elapsed_interval,1,3.61,1,3.61,1,3.61,3.41,3.040492549771443,3.6382249963935465,0,0
helix,3,802003,Linear MPC,nominal,20.0,0.75,0.0,0.01,1.2989681148925456,2.7755775571824968,1.427935970408798,1,3.11,1.2663566067940621,0.0773559960240637,0.07735802285938244,3.4591582688940283,0.2,dwell_end,elapsed_interval,1,3.31,1,3.31,1,3.31,3.11,4.146043399901828,4.68325500114588,0,0
helix,3,802003,PID,nominal,20.0,0.75,0.0,0.01,1.2989681148925456,2.7755775571824968,1.427935970408798,1,16.43,5.780448546027128,0.43978134534924296,0.9214170381965697,8.10773295761357,0.2,dwell_end,elapsed_interval,0,nan,0,nan,0,nan,16.43,0.0,0.0,0,0
