controller,family,replicate,run_index,aggressiveness_scale,reference_peak_speed_mps,reference_peak_acceleration_mps2,reference_p95_implied_tilt_deg,reference_peak_implied_tilt_deg,position_rmse_m,velocity_rmse_mps,yaw_rmse_rad,yaw_rate_rmse_radps,position_vector_rmse_m,actual_p95_tilt_deg,actual_peak_tilt_deg,command_peak_tilt_deg,body_rate_rms_radps,body_rate_p99_radps,body_rate_max_radps,roll_pitch_step_rms_rad,roll_pitch_step_p99_rad,roll_pitch_step_max_rad,failed_solves,allocator_altered_steps,mean_solve_ms,p95_solve_ms,p99_solve_ms,max_solve_ms
reactive_pid,figure8,8,791008,1.75,8.75,3.6969035570763977,21.33109229690537,21.738869709250416,1.0596546729524674,0.47904805655919025,0.12397555083156758,0.0786607258969533,1.8353757320314557,20.71943211528436,23.11543752911678,22.871467992152233,0.24287185478904155,0.8513774121092976,0.8586891421249994,0.00115390028343191,0.003252306692179634,0.0034453654064836685,0,0,0.0,0.0,0.0,0.0
reactive_pid,figure8,9,791009,1.75,8.75,3.1733983970623836,18.512685051827315,18.802083704053985,0.9537712472936138,0.3847660852264071,0.11517253535462244,0.060841700500956976,1.6519802591108794,17.94759382584689,20.211919190770992,20.216614712701087,0.22677888129000548,0.7412254845570436,0.7438088163202738,0.001016002362804465,0.003089385959065912,0.0033123090732693843,0,0,0.0,0.0,0.0,0.0
yaw_scheduled_hover,figure8,0,791000,1.75,8.749999999999998,3.204889226515694,18.2499480725847,18.563195343932883,0.023415090509505576,0.01324357522869232,0.007741730975931683,0.016028482758654643,0.04055612642628749,17.788564315285562,18.491119276058775,18.3718565017764,0.21543153474640755,0.6937167061470266,0.6956086222502136,0.0008829672012863629,0.0043185450382064415,0.008182328787520109,0,0,1.4026884961032962,1.9174099870724597,2.1560140018118545,2.475299988873303
yaw_scheduled_hover,figure8,1,791001,1.75,8.75,3.1386983473493384,15.338292669377447,15.59106420507628,0.03220897053688883,0.03645372592493688,0.005220952480618655,0.006877022130024685,0.055787573429380476,14.208294342572838,14.527239475923249,14.51121339345923,0.20077354617226068,0.5698925291236997,0.5705115708643741,0.001132620059859655,0.007737010927487394,0.017863688353499635,0,0,1.36699393104278,1.5671100001782179,1.8942819879157469,3.195599972968921
yaw_scheduled_hover,figure8,2,791002,1.75,8.75,3.245847280567016,19.016092269482833,19.328334735728415,0.025633557675695126,0.015087554793329544,0.00933930553348119,0.02124937877747917,0.044398624273051135,18.57417105909487,19.469724349964775,19.30190325011008,0.22705582633593213,0.7825941176302746,0.7853888441190633,0.0009932768053028988,0.004094323427313677,0.00722696542573737,0,0,1.4059306768100819,1.8672400154173374,2.120605994714424,2.5273000064771622
yaw_scheduled_hover,figure8,3,791003,1.75,8.75,3.550398014901681,20.62802565911838,21.005093866494416,0.02650121067441494,0.016098458370693555,0.011229711162153891,0.02604021074590224,0.04590144335017335,20.16952744884295,21.456176839262724,21.266369348853328,0.23935769997636946,0.87610948486075,0.8787220645679839,0.0010879054836952697,0.004055532803314409,0.0074883986983108435,0,0,1.3486170058262732,1.516849995823577,1.741281986469403,2.42979999165982
yaw_scheduled_hover,figure8,4,791004,1.75,8.75,3.3016381373891277,18.016868090293368,18.34418808910063,0.022439621535529045,0.012640901101939363,0.007435328849525546,0.014618913743613151,0.038866564602153056,17.551296550662983,18.234820277546742,18.129555268640754,0.2129465187694924,0.677446267844523,0.6791390257281735,0.0008443089232527681,0.004165080464573997,0.008603365685502034,0,0,1.3426326441828709,1.480819986318238,1.7368579818867145,2.6744999922811985
yaw_scheduled_hover,figure8,5,791005,1.75,8.75,3.2999123582682146,15.492366843007428,15.76793056107156,0.14566536707658542,0.14281148111572511,0.005427563661347147,0.007561624690209617,0.25229981667981677,14.495250732085447,14.884237972732988,14.86207131807561,0.20246375550607693,0.5766056636251532,0.5773364690910914,0.0018801726254032037,0.011371072900546276,0.03840402813731586,0,0,1.431164821452952,1.7603700136533005,1.9661400100449098,3.524600004311651
yaw_scheduled_hover,figure8,6,791006,1.75,8.75,3.4522844358378384,20.12624676324664,20.456930138143093,0.027734365808764296,0.01708374545641762,0.011443902657338335,0.027628443844654092,0.048037330696480855,19.61105964933676,20.821312203223975,20.654492823704498,0.24214474760072882,0.8782649138856891,0.881443781666008,0.0011529494013701872,0.004342570596297675,0.008250592968236352,0,0,1.3650586861507144,1.5101699769729748,1.706298011704348,2.114400005666539
yaw_scheduled_hover,figure8,7,791007,1.75,8.75,3.1752654932000053,17.606371538904522,17.90838496898162,0.02220167477320732,0.012300219134846035,0.006955456952454624,0.013460481626198064,0.03845442872031531,17.066792667169505,17.666379990009695,17.575695061601195,0.21016040306661826,0.651696191208719,0.6531722580559413,0.0008305621128244638,0.0041631745196506085,0.008875849973775189,0,0,1.3981201397954564,1.7110099899582565,1.9574560032924637,2.5354000099468976
yaw_scheduled_hover,figure8,8,791008,1.75,8.75,3.6969035570763977,21.33109229690537,21.738869709250416,0.027091422567271234,0.01687003248370921,0.01191224898308411,0.02824168339493153,0.04692372033583185,20.88884012101066,22.31416259435571,22.113520048963135,0.24327565294945086,0.8888193679283236,0.8922572548867315,0.0011362184249535615,0.0040030971917722966,0.0075996999146538124,0,0,1.3823969659091802,1.5982800046913326,1.8137080146698281,2.8132000006735325
yaw_scheduled_hover,figure8,9,791009,1.75,8.75,3.1733983970623836,18.512685051827315,18.802083704053985,0.025580746339641344,0.015047810096945297,0.009054385711228182,0.020632553377102163,0.04430715235579039,18.063507174035465,18.880525384131133,18.709134271249336,0.22546841746169127,0.7665314573949802,0.7690915489541691,0.0009861479948035294,0.004240355646817234,0.007240245924463517,0,0,1.3799167728117845,1.6283900011330843,1.839353977702558,2.5344000023324043
edmdc,helix,0,790000,1.75,4.201844049161114,2.8024467699965068,15.948349288513723,15.950203540567905,0.07437152836295725,0.048280780004734715,0.004029908071031318,0.02286173028910079,0.12881526576119173,15.770357266867482,15.851218706758575,15.923344780120514,0.345894264699657,0.677494691652641,0.678397702701101,0.00035112931594230264,0.0011426371749571707,0.004488321382206467,0,0,3.854124107892712,5.488329997751862,5.641395998536609,11.552500014659017
edmdc,helix,1,790001,1.75,3.771471327001496,1.1544992364276634,6.53284960401991,6.760419259659638,0.025926078565616913,0.009129408571182763,0.001360173030246714,0.001519601384555809,0.04490528531667092,6.430160106750013,7.0094789030854825,7.020483008141046,0.11663074037750822,0.2345310924426157,0.2363671440004203,0.000223022765555818,0.0007680622209652383,0.004034775144105783,0,0,3.857230009995873,5.539180006599054,6.695933994487859,10.605599993141368
edmdc,helix,2,790002,1.75,2.7206235808352592,0.8434517609208042,4.697585956299364,4.883106586791244,0.020297101068832975,0.00819250382265861,0.0016721826742916546,0.0010530964634751642,0.035155610297579284,4.525213025476976,4.933340736559079,4.94346874045293,0.1425591699030688,0.280567967016943,0.2818864280943946,0.00016368901529842042,0.0005424563948058554,0.0029238145142475675,0,0,3.725490697268111,6.28239999350626,6.591782015166245,8.100300008663908
edmdc,helix,3,790003,1.75,2.850133308976447,0.9648443005123726,5.618749149411474,5.626927656518065,0.02553116680057426,0.011223378090838999,0.0020602010245474216,0.0018523747470987123,0.04422127807511036,5.628484893380607,5.702664111585987,5.717963307675354,0.1757025537030336,0.34526575787927705,0.3465049691492065,0.00018355035354684655,0.0006019173122515393,0.0031210614142937227,0,0,4.545866988913572,5.428420007228851,6.139644006034359,6.812600011471659
edmdc,helix,4,790004,1.75,2.011226955690129,0.6211641978133088,3.55270199342179,3.626414947282248,0.014221179205801312,0.005602032211748614,0.0015640351419675788,0.000707001830594652,0.024631804927989887,3.468380857794581,3.788407865051199,3.7956060598276813,0.1331336023249368,0.26160076518921266,0.2624702194641868,0.00012280924778511522,0.0004124400637600706,0.002273801674377827,0,0,4.957888696065779,5.340130004333332,5.971334004425444,6.768899998860434
edmdc,helix,5,790005,1.75,2.25955459166832,0.6849596818084702,3.8147236834951483,3.959360294131268,0.013640806097623408,0.004404206895449549,0.0010306572615989057,0.0004367299284417235,0.023626569217279087,3.804791771660094,4.152600940191799,4.157484360134101,0.08811506875266555,0.17471690610248752,0.1760253739749903,0.0001278759308584331,0.00045313306264663396,0.0024811062691036845,0,0,4.809183327926549,5.964269983815029,6.274364015553147,6.983400002354756
edmdc,helix,6,790006,1.75,1.857684985299853,0.5678289230049591,3.0679262384902355,3.1929387627133394,0.01171474715216399,0.004435434533059424,0.0013817337123646918,0.0006080543740892473,0.020290537265370844,3.0091131437097762,3.2822856892601315,3.2875376596179664,0.11753921422083774,0.23098064393983989,0.23171510465346365,0.00010548680777654693,0.0003596761510959436,0.002021870024401046,0,0,4.286374891699,5.378520002705045,6.1835679929936305,6.8894999858457595
edmdc,helix,7,790007,1.75,4.1104723712664715,1.2732753547059625,7.270867989691246,7.452403989421891,0.031247308397896693,0.01203553082168085,0.0016230318308561435,0.00251991276897449,0.05412192574493073,7.058866117664982,7.696300898419525,7.711395194348793,0.13880834093824998,0.278164818043349,0.2797478991778879,0.0002513577541347088,0.0008433055025389921,0.004396874283003332,0,0,3.3031970988289077,5.213710002135485,6.093618006561883,7.306499988771975
edmdc,helix,8,790008,1.75,2.588216833674409,0.7889917163989656,4.401057376162242,4.572449196010915,0.01658562213106054,0.005776328885772225,0.001247993847100033,0.0006154660113356942,0.02872714020613565,4.350403588790552,4.742839424228691,4.749608689406582,0.10663551648917348,0.21107129484231235,0.21248489123397793,0.00014943774956328144,0.0005185607156764089,0.002807149392452083,0,0,2.9662986663373565,3.5039700189372525,3.8980259955860674,5.7514999934937805
edmdc,helix,9,790009,1.75,4.233740668271219,1.6490297072671634,9.54522986519044,9.551637525490957,0.043401860175931804,0.019581543464131,0.0023823552464233033,0.005906786417593283,0.07517422696771418,9.532021796930758,9.618474905045746,9.64293783891327,0.20333764866999185,0.4018014150427471,0.4029462103507007,0.00028105824302311497,0.0008946491717208504,0.004504017232117474,0,0,2.9652516834519207,3.4215399995446196,3.8599759968928993,5.460699991090223
reactive_pid,helix,1,790001,1.75,3.771471327001496,1.1544992364276634,6.53284960401991,6.760419259659638,0.562443222207076,0.14689469817194253,0.06204025959013474,0.00885735777441129,0.9741802372354074,6.715023376523703,7.866532676967242,7.969387399808326,0.11826692741731129,0.2483032781068485,0.25353630678248684,0.0003396875329747178,0.0013767943602501773,0.0014526275410384985,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,0,790000,1.75,4.201844049161114,2.8024467699965068,15.948349288513723,15.950203540567905,0.6443702044834342,0.4321239545958295,0.1820402125495902,0.037147888590590206,1.1160819330488547,17.058063139705393,17.883470091824705,17.754495557822654,0.34826066712607995,0.686055847877016,0.6870905295909769,0.0006039519483085644,0.0023933900547481084,0.0024410933699342482,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,2,790002,1.75,2.7206235808352592,0.8434517609208042,4.697585956299364,4.883106586791244,0.41541881025305544,0.1215953466215502,0.07661705368471032,0.01071710055797242,0.7195264857781069,4.792544911319574,5.586255673229645,5.654967560082591,0.14316964149824954,0.2816762982264897,0.28336300062937536,0.00024576367269334685,0.0009749498122563427,0.0010378363427098276,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,3,790003,1.75,2.850133308976447,0.9648443005123726,5.618749149411474,5.626927656518065,0.4222970121857705,0.15290830220297055,0.09440558097092511,0.013298011361394644,0.7314398809902878,6.067943523795352,6.3018718123627,6.285098873650126,0.17634398847468466,0.34626873110920686,0.3480568118855516,0.0002780983302148609,0.0010777693444428392,0.0011466299880438606,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,4,790004,1.75,2.011226955690129,0.6211641978133088,3.55270199342179,3.626414947282248,0.2970614167618139,0.08627109905145214,0.07176248556156406,0.010022383790458266,0.5145254667998546,3.5997598339306665,4.276565118042557,4.326221353160864,0.13344152024148292,0.26173720101839965,0.26279560991181056,0.0001833778662650381,0.0007405352787652657,0.000780692681931093,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,5,790005,1.75,2.25955459166832,0.6849596818084702,3.8147236834951483,3.959360294131268,0.3423577254756461,0.07383933807889609,0.04728221275259568,0.006597355235999775,0.5929809748875368,3.9491409536622637,4.657499876961109,4.6974288132941755,0.08871567738735152,0.17696436601054139,0.1774510150289968,0.0001898854608798636,0.000789734567469019,0.0008136981167984543,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,6,790006,1.75,1.857684985299853,0.5678289230049591,3.0679262384902355,3.1929387627133394,0.2943066825759924,0.07178662978307024,0.06338811804444792,0.008851066370273232,0.5097541272286649,3.1504145909069114,3.7001554899446183,3.7386824382436967,0.11777809465271732,0.23101515993650537,0.2318966185963839,0.0001565058025586973,0.0006417844082989432,0.0006640879472936402,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,7,790007,1.75,4.1104723712664715,1.2732753547059625,7.270867989691246,7.452403989421891,0.6109004595995688,0.1826198384968143,0.0737877061583165,0.010788793607726272,1.0581106343936317,7.335234676285564,8.591641282985202,8.688830314442702,0.14059885571998226,0.28959034655787014,0.2941273901640348,0.0003843684349916803,0.0015114370153227923,0.0015817166480874554,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,8,790008,1.75,2.588216833674409,0.7889917163989656,4.401057376162242,4.572449196010915,0.3916719143687791,0.09453380625639982,0.05721572788047297,0.007989815185920776,0.6783956555844919,4.541460990953469,5.33432632336142,5.385725273587496,0.1073235693298369,0.21364235936411946,0.2141141551526135,0.00022262229391876483,0.0009207870888623803,0.0009408280298020114,0,0,0.0,0.0,0.0,0.0
reactive_pid,helix,9,790009,1.75,4.233740668271219,1.6490297072671634,9.54522986519044,9.551637525490957,0.6370311294370452,0.2589355644355366,0.1081376421065616,0.01651139372523538,1.1033702821879483,10.1171901890298,10.615746913277082,10.596094796881248,0.2047096948874499,0.40269223942686727,0.40531260815882164,0.0004142918863160742,0.001535557876780194,0.0015621082784378858,0,0,0.0,0.0,0.0,0.0
yaw_scheduled_hover,helix,0,790000,1.75,4.201844049161114,2.8024467699965068,15.948349288513723,15.950203540567905,0.03252415635657102,0.023307159959481134,0.004032755449342088,0.024435409076033615,0.05633349128289527,16.05966136368674,16.371317944748238,16.5213388456263,0.3462782953554858,0.6862437248474965,0.7065512493933706,0.0004944865486345393,0.002693081939414706,0.005200472015941038,0,0,1.8061426807346803,2.5311300036264583,2.905720006092451,7.655300025362521
